
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 3.22641e-06, 9.2e-07, 9.2e-12, 3.588e-07, 1.92e-06, 2.76e-08, 1.47e-06, 4.45938e-08, 4.13e-06, 1.19e-05, 2.0771e-05, 92.5424
, 4.64641e-06, 1.42e-06, 1.42e-11, 5.538e-07, 2.63e-06, 4.26e-08, 3.18e-06, 5.025e-08, 4e-06, 1.863e-05, 3.05067e-05, 89.2409
, 3.73081e-06, 1.24e-06, 1.24e-11, 4.836e-07, 1.97e-06, 3.72e-08, 1.275e-06, 5e-08, 4e-06, 1.374e-05, 2.27958e-05, 91.8458
, 5.81683e-06, 2.54e-06, 2.54e-11, 9.906e-07, 2.21e-06, 7.62e-08, 3.225e-06, 5.025e-08, 4e-06, 1.858e-05, 3.16721e-05, 88.8537
, 3.10121e-06, 8.6e-07, 8.6e-12, 3.354e-07, 1.88e-06, 2.58e-08, 1.095e-06, 5e-08, 4e-06, 1.359e-05, 2.18362e-05, 92.1753
, 4.48202e-06, 1.6e-06, 1.6e-11, 6.24e-07, 2.21e-06, 4.8e-08, 1.38e-06, 5e-08, 4e-06, 1.449e-05, 2.4402e-05, 91.297
, 1.228e-06, 4e-07, 4e-12, 1.56e-07, 6.6e-07, 1.2e-08, 5.4e-07, 4.95e-08, 4e-06, 1.066e-05, 1.64775e-05, 94.0369
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.1112e-06, 3.6e-07, 3.6e-12, 1.404e-07, 6e-07, 1.08e-08, 3.15e-07, 5.86875e-08, 4.94e-06, 1.222e-05, 1.86449e-05, 93.2794


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.17984e-05, 4.02e-06, 4.02e-11, 1.5678e-06, 6.09e-06, 1.206e-07, 4.44e-06, 7.5625e-08, 6e-06, 2.752e-05, 4.98341e-05, 83.0317
, 3.95681e-06, 1.04e-06, 1.04e-11, 4.056e-07, 2.48e-06, 3.12e-08, 1.89e-06, 6.61563e-08, 6.05e-06, 1.7305e-05, 2.9268e-05, 89.6543
, 5.45762e-06, 1.78e-06, 1.78e-11, 6.942e-07, 2.93e-06, 5.34e-08, 4.815e-06, 7.3875e-08, 6e-06, 2.786e-05, 4.42065e-05, 84.7936
, 5.41282e-06, 1.84e-06, 1.84e-11, 7.176e-07, 2.8e-06, 5.52e-08, 1.965e-06, 7.5e-08, 6e-06, 2.105e-05, 3.45028e-05, 87.9201
, 8.77924e-06, 3.76e-06, 3.76e-11, 1.4664e-06, 3.44e-06, 1.128e-07, 4.815e-06, 7.5125e-08, 6e-06, 2.73e-05, 4.69694e-05, 83.924
, 4.36081e-06, 1.24e-06, 1.24e-11, 4.836e-07, 2.6e-06, 3.72e-08, 1.68e-06, 7.5e-08, 6e-06, 2.141e-05, 3.35258e-05, 88.2412
, 6.71162e-06, 2.48e-06, 2.48e-11, 9.672e-07, 3.19e-06, 7.44e-08, 2.055e-06, 7.5e-08, 6e-06, 2.115e-05, 3.59916e-05, 87.433
, 1.57841e-06, 5.2e-07, 5.2e-12, 2.028e-07, 8.4e-07, 1.56e-08, 9.9e-07, 7.49375e-08, 5.96e-06, 1.7855e-05, 2.64583e-05, 90.5992
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.3712e-06, 3.6e-07, 3.6e-12, 1.404e-07, 8.6e-07, 1.08e-08, 3.15e-07, 5.86875e-08, 4.94e-06, 1.298e-05, 1.96649e-05, 92.9251


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.61033e-05, 5.46e-06, 5.46e-11, 2.1294e-06, 8.35e-06, 1.638e-07, 6.12e-06, 1.01125e-07, 8e-06, 4.259e-05, 7.29144e-05, 76.1802
, 5.53202e-06, 1.6e-06, 1.6e-11, 6.24e-07, 3.26e-06, 4.8e-08, 2.37e-06, 9.05937e-08, 8.17e-06, 3.08e-05, 4.69626e-05, 83.9261
, 8.59083e-06, 2.74e-06, 2.74e-11, 1.0686e-06, 4.7e-06, 8.22e-08, 6.165e-06, 1.00062e-07, 8e-06, 3.4685e-05, 5.75409e-05, 80.678
, 6.79762e-06, 2.28e-06, 2.28e-11, 8.892e-07, 3.56e-06, 6.84e-08, 2.25e-06, 1e-07, 8e-06, 2.82e-05, 4.53476e-05, 84.4334
, 1.21432e-05, 4.96e-06, 4.96e-11, 1.9344e-06, 5.1e-06, 1.488e-07, 6.03e-06, 9.91875e-08, 8e-06, 3.4745e-05, 6.10174e-05, 79.6381
, 6.16442e-06, 1.82e-06, 1.82e-11, 7.098e-07, 3.58e-06, 5.46e-08, 2.61e-06, 1e-07, 8e-06, 2.87e-05, 4.55744e-05, 84.3619
, 8.68083e-06, 3.24e-06, 3.24e-11, 1.2636e-06, 4.08e-06, 9.72e-08, 2.79e-06, 1e-07, 8e-06, 2.704e-05, 4.66108e-05, 84.0363
, 2.27761e-06, 7.8e-07, 7.8e-12, 3.042e-07, 1.17e-06, 2.34e-08, 1.35e-06, 1.00406e-07, 7.97e-06, 2.3285e-05, 3.4983e-05, 87.7627
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.0344e-06, 3.2e-07, 3.2e-12, 1.248e-07, 5.8e-07, 9.6e-09, 2.85e-07, 5.86875e-08, 4.94e-06, 1.19e-05, 1.82181e-05, 93.4281


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.83693e-05, 6.26e-06, 6.26e-11, 2.4414e-06, 9.48e-06, 1.878e-07, 7.74e-06, 1.23687e-07, 1e-05, 4.5135e-05, 8.1368e-05, 73.8147
, 6.67282e-06, 1.84e-06, 1.84e-11, 7.176e-07, 4.06e-06, 5.52e-08, 2.91e-06, 1.11938e-07, 1.016e-05, 2.9125e-05, 4.89798e-05, 83.2968
, 1.09932e-05, 3.46e-06, 3.46e-11, 1.3494e-06, 6.08e-06, 1.038e-07, 8.055e-06, 1.24875e-07, 1e-05, 4.558e-05, 7.47531e-05, 75.6593
, 9.17843e-06, 3.02e-06, 3.02e-11, 1.1778e-06, 4.89e-06, 9.06e-08, 3.21e-06, 1.25e-07, 1e-05, 3.669e-05, 5.92034e-05, 80.179
, 1.54657e-05, 6.18e-06, 6.18e-11, 2.4102e-06, 6.69e-06, 1.854e-07, 7.395e-06, 1.25875e-07, 1e-05, 4.437e-05, 7.73565e-05, 74.9279
, 7.91642e-06, 2.42e-06, 2.42e-11, 9.438e-07, 4.48e-06, 7.26e-08, 3.24e-06, 1.25e-07, 1e-05, 3.674e-05, 5.80214e-05, 80.5334
, 1.14068e-05, 4.04e-06, 4.04e-11, 1.5756e-06, 5.67e-06, 1.212e-07, 3.195e-06, 1.25e-07, 1e-05, 3.551e-05, 6.02368e-05, 79.8704
, 2.21921e-06, 7.6e-07, 7.6e-12, 2.964e-07, 1.14e-06, 2.28e-08, 1.62e-06, 1.24812e-07, 9.98e-06, 2.981e-05, 4.3754e-05, 84.9369
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.2412e-06, 3.6e-07, 3.6e-12, 1.404e-07, 7.3e-07, 1.08e-08, 3.15e-07, 5.86875e-08, 4.94e-06, 1.26e-05, 1.91549e-05, 93.102

