
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 3.66761e-06, 1.28e-06, 1.28e-11, 4.992e-07, 1.85e-06, 3.84e-08, 1.38e-06, 2.4625e-08, 2e-06, 9.16e-06, 1.62322e-05, 94.123
, 1.8216e-06, 4.8e-07, 4.8e-12, 1.872e-07, 1.14e-06, 1.44e-08, 7.65e-07, 2.30625e-08, 2.04e-06, 7.155e-06, 1.18047e-05, 95.6909
, 2.63441e-06, 8.2e-07, 8.2e-12, 3.198e-07, 1.47e-06, 2.46e-08, 1.575e-06, 2.4375e-08, 2e-06, 8.37e-06, 1.46038e-05, 94.6966
, 1.78521e-06, 5.6e-07, 5.6e-12, 2.184e-07, 9.9e-07, 1.68e-08, 6e-07, 2.5e-08, 2e-06, 6.73e-06, 1.11402e-05, 95.9284
, 3.06641e-06, 1.42e-06, 1.42e-11, 5.538e-07, 1.05e-06, 4.26e-08, 1.5e-06, 2.56875e-08, 2e-06, 9.535e-06, 1.61271e-05, 94.1599
, 1.74681e-06, 5.4e-07, 5.4e-12, 2.106e-07, 9.8e-07, 1.62e-08, 5.4e-07, 2.5e-08, 2e-06, 6.2e-06, 1.05118e-05, 96.1536
, 2.02281e-06, 8.4e-07, 8.4e-12, 3.276e-07, 8.3e-07, 2.52e-08, 6.9e-07, 2.5e-08, 2e-06, 6.55e-06, 1.12878e-05, 95.8756
, 4.08801e-07, 1.4e-07, 1.4e-12, 5.46e-08, 2.1e-07, 4.2e-09, 2.55e-07, 2.45e-08, 2e-06, 5.83e-06, 8.5183e-06, 96.8715
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.0044e-06, 3.2e-07, 3.2e-12, 1.248e-07, 5.5e-07, 9.6e-09, 3e-07, 5.86875e-08, 4.94e-06, 1.142e-05, 1.77231e-05, 93.6008


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 7.09282e-06, 2.34e-06, 2.34e-11, 9.126e-07, 3.77e-06, 7.02e-08, 2.715e-06, 4.98125e-08, 4e-06, 1.7125e-05, 3.09826e-05, 89.0825
