
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00568342, 0.004, 4e-08, 0.00156, 3.38e-06, 0.00012, 2.34e-06, 8.86562e-08, 8.01e-06, 3.0485e-05, 0.00572434, 5.29286e-08
, 0.0103711, 0.0073, 7.3e-08, 0.002847, 5.02e-06, 0.000219, 6.33e-06, 1.01062e-07, 8e-06, 3.6565e-05, 0.0104221, 1.29118e-15
, 0.00923422, 0.0065, 6.5e-08, 0.002535, 4.16e-06, 0.000195, 2.535e-06, 1e-07, 8e-06, 2.946e-05, 0.00927432, 9.35293e-14
, 0.0174004, 0.01225, 1.225e-07, 0.0047775, 5.32e-06, 0.0003675, 5.895e-06, 1.00062e-07, 8e-06, 3.7315e-05, 0.0174518, 5.24087e-27
, 0.00710375, 0.005, 5e-08, 0.00195, 3.7e-06, 0.00015, 2.445e-06, 1e-07, 8e-06, 2.757e-05, 0.00714186, 2.67051e-10
, 0.0121457, 0.00855, 8.55e-08, 0.0033345, 4.64e-06, 0.0002565, 2.775e-06, 1e-07, 8e-06, 2.939e-05, 0.012186, 1.78888e-18
, 0.00227301, 0.0016, 1.6e-08, 0.000624, 9.9e-07, 4.8e-05, 1.05e-06, 9.76562e-08, 7.91e-06, 2.343e-05, 0.00230549, 0.018363
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00113669, 0.0008, 8e-09, 0.000312, 6.8e-07, 2.4e-05, 2.85e-07, 5.86875e-08, 4.94e-06, 1.115e-05, 0.00115312, 1.35321


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0236527, 0.01665, 1.665e-07, 0.0064935, 9.56e-06, 0.0004995, 7.8e-06, 1.255e-07, 1e-05, 5.119e-05, 0.0237218, 3.62003e-37
, 0.00618098, 0.00435, 4.35e-08, 0.0016965, 3.94e-06, 0.0001305, 2.955e-06, 1.09937e-07, 1e-05, 2.8405e-05, 0.00622245, 8.25093e-09
, 0.012786, 0.009, 9e-08, 0.00351, 5.9e-06, 0.00027, 7.35e-06, 1.23312e-07, 1e-05, 4.2435e-05, 0.0128459, 1.52475e-19
, 0.0111524, 0.00785, 7.85e-08, 0.0030615, 5.32e-06, 0.0002355, 3.135e-06, 1.25e-07, 1e-05, 3.616e-05, 0.0112018, 7.03774e-17
, 0.0213778, 0.01505, 1.505e-07, 0.0058695, 6.61e-06, 0.0004515, 7.185e-06, 1.24187e-07, 1e-05, 4.3455e-05, 0.0214385, 1.81481e-33
, 0.00760147, 0.00535, 5.35e-08, 0.0020865, 4.42e-06, 0.0001605, 3.375e-06, 1.25e-07, 1e-05, 3.635e-05, 0.00765132, 3.9904e-11
, 0.0149873, 0.01055, 1.055e-07, 0.0041145, 6.18e-06, 0.0003165, 3.285e-06, 1.25e-07, 1e-05, 3.811e-05, 0.0150388, 4.26176e-23
, 0.00277025, 0.00195, 1.95e-08, 0.0007605, 1.23e-06, 5.85e-05, 1.74e-06, 1.23437e-07, 9.94e-06, 3.06e-05, 0.00281265, 0.00276752
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00106545, 0.00075, 7.5e-09, 0.0002925, 4.4e-07, 2.25e-05, 2.7e-07, 5.86875e-08, 4.94e-06, 1.123e-05, 0.00108195, 1.7648

