
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 3.74121e-06, 1.36e-06, 1.36e-11, 5.304e-07, 1.81e-06, 4.08e-08, 1.47e-06, 2.525e-08, 2e-06, 9.97e-06, 1.72065e-05, 93.7814
, 1.6332e-06, 4.6e-07, 4.6e-12, 1.794e-07, 9.8e-07, 1.38e-08, 5.1e-07, 2.15e-08, 2e-06, 7.13e-06, 1.12947e-05, 95.8731
, 2.22561e-06, 6.8e-07, 6.8e-12, 2.652e-07, 1.26e-06, 2.04e-08, 1.38e-06, 2.4875e-08, 2e-06, 8.41e-06, 1.40405e-05, 94.8959
, 1.86361e-06, 5.8e-07, 5.8e-12, 2.262e-07, 1.04e-06, 1.74e-08, 5.7e-07, 2.5e-08, 2e-06, 7e-06, 1.14586e-05, 95.8145
, 3.21481e-06, 1.44e-06, 1.44e-11, 5.616e-07, 1.17e-06, 4.32e-08, 1.635e-06, 2.60625e-08, 2e-06, 1.0055e-05, 1.69309e-05, 93.8779
, 1.4848e-06, 4.4e-07, 4.4e-12, 1.716e-07, 8.6e-07, 1.32e-08, 5.55e-07, 2.5e-08, 2e-06, 6.95e-06, 1.10148e-05, 95.9733
, 2.33801e-06, 9e-07, 9e-12, 3.51e-07, 1.06e-06, 2.7e-08, 6.9e-07, 2.5e-08, 2e-06, 7.01e-06, 1.2063e-05, 95.5987
, 7.00802e-07, 2.4e-07, 2.4e-12, 9.36e-08, 3.6e-07, 7.2e-09, 4.65e-07, 2.48125e-08, 1.98e-06, 6.16e-06, 9.33061e-06, 96.5783
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.036e-06, 3e-07, 3e-12, 1.17e-07, 6.1e-07, 9e-09, 2.7e-07, 5.86875e-08, 4.94e-06, 1.12e-05, 1.75047e-05, 93.6771


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 7.16843e-06, 2.52e-06, 2.52e-11, 9.828e-07, 3.59e-06, 7.56e-08, 3.105e-06, 4.96875e-08, 4e-06, 1.7925e-05, 3.22481e-05, 88.6629
, 2.93601e-06, 8e-07, 8e-12, 3.12e-07, 1.8e-06, 2.4e-08, 1.035e-06, 4.4625e-08, 4.02e-06, 1.3525e-05, 2.15606e-05, 92.2701
, 4.91522e-06, 1.56e-06, 1.56e-11, 6.084e-07, 2.7e-06, 4.68e-08, 3.18e-06, 4.93125e-08, 4e-06, 1.7495e-05, 2.96395e-05, 89.5301
, 3.31361e-06, 1.08e-06, 1.08e-11, 4.212e-07, 1.78e-06, 3.24e-08, 1.185e-06, 5e-08, 4e-06, 1.391e-05, 2.24586e-05, 91.9614
, 6.25043e-06, 2.62e-06, 2.62e-11, 1.0218e-06, 2.53e-06, 7.86e-08, 3.03e-06, 4.9875e-08, 4e-06, 1.874e-05, 3.20703e-05, 88.7217
, 3.27801e-06, 9e-07, 9e-12, 3.51e-07, 2e-06, 2.7e-08, 1.245e-06, 5e-08, 4e-06, 1.446e-05, 2.3033e-05, 91.7646
, 4.61402e-06, 1.7e-06, 1.7e-11, 6.63e-07, 2.2e-06, 5.1e-08, 1.455e-06, 5e-08, 4e-06, 1.344e-05, 2.3559e-05, 91.5846
, 1.0512e-06, 3.6e-07, 3.6e-12, 1.404e-07, 5.4e-07, 1.08e-08, 6.75e-07, 4.99375e-08, 4e-06, 1.1615e-05, 1.73911e-05, 93.7168
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.1644e-06, 3.2e-07, 3.2e-12, 1.248e-07, 7.1e-07, 9.6e-09, 2.85e-07, 5.86875e-08, 4.94e-06, 1.139e-05, 1.78381e-05, 93.5607


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.131e-05, 4e-06, 4e-11, 1.56e-06, 5.63e-06, 1.2e-07, 4.665e-06, 7.5125e-08, 6e-06, 2.979e-05, 5.18402e-05, 82.4125
, 3.83681e-06, 1.04e-06, 1.04e-11, 4.056e-07, 2.36e-06, 3.12e-08, 1.71e-06, 6.6125e-08, 6.06e-06, 1.8875e-05, 3.05479e-05, 89.2271
, 6.43522e-06, 2.06e-06, 2.06e-11, 8.034e-07, 3.51e-06, 6.18e-08, 4.695e-06, 7.5e-08, 6e-06, 2.758e-05, 4.47852e-05, 84.6107
, 5.34242e-06, 1.72e-06, 1.72e-11, 6.708e-07, 2.9e-06, 5.16e-08, 1.95e-06, 7.5e-08, 6e-06, 2.109e-05, 3.44574e-05, 87.935
, 8.19483e-06, 3.44e-06, 3.44e-11, 1.3416e-06, 3.31e-06, 1.032e-07, 4.395e-06, 7.36875e-08, 6e-06, 2.7025e-05, 4.56885e-05, 84.326
, 4.09241e-06, 1.22e-06, 1.22e-11, 4.758e-07, 2.36e-06, 3.66e-08, 1.755e-06, 7.5e-08, 6e-06, 2.155e-05, 3.34724e-05, 88.2588
, 7.10322e-06, 2.46e-06, 2.46e-11, 9.594e-07, 3.61e-06, 7.38e-08, 1.935e-06, 7.5e-08, 6e-06, 2.17e-05, 3.68132e-05, 87.1654
, 1.3732e-06, 4.6e-07, 4.6e-12, 1.794e-07, 7.2e-07, 1.38e-08, 8.55e-07, 7.42812e-08, 5.97e-06, 1.6355e-05, 2.46275e-05, 91.2202
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.2312e-06, 3.6e-07, 3.6e-12, 1.404e-07, 7.2e-07, 1.08e-08, 3.15e-07, 5.86875e-08, 4.94e-06, 1.112e-05, 1.76649e-05, 93.6212


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.69277e-05, 5.78e-06, 5.78e-11, 2.2542e-06, 8.72e-06, 1.734e-07, 5.985e-06, 1.015e-07, 8e-06, 4.145e-05, 7.24642e-05, 76.3083
, 5.35321e-06, 1.46e-06, 1.46e-11, 5.694e-07, 3.28e-06, 4.38e-08, 2.4e-06, 8.8e-08, 8.02e-06, 2.3765e-05, 3.96262e-05, 86.2553
, 8.29723e-06, 2.66e-06, 2.66e-11, 1.0374e-06, 4.52e-06, 7.98e-08, 6.18e-06, 1.01125e-07, 8e-06, 3.649e-05, 5.90684e-05, 80.2194
, 7.23962e-06, 2.38e-06, 2.38e-11, 9.282e-07, 3.86e-06, 7.14e-08, 2.7e-06, 1e-07, 8e-06, 2.955e-05, 4.75896e-05, 83.73
, 1.21896e-05, 4.88e-06, 4.88e-11, 1.9032e-06, 5.26e-06, 1.464e-07, 6.03e-06, 1e-07, 8e-06, 3.739e-05, 6.37096e-05, 78.8421
, 6.36322e-06, 1.96e-06, 1.96e-11, 7.644e-07, 3.58e-06, 5.88e-08, 2.49e-06, 1e-07, 8e-06, 2.802e-05, 4.49732e-05, 84.5514
, 9.07043e-06, 3.12e-06, 3.12e-11, 1.2168e-06, 4.64e-06, 9.36e-08, 2.595e-06, 1e-07, 8e-06, 2.904e-05, 4.88054e-05, 83.351
, 2.16081e-06, 7.4e-07, 7.4e-12, 2.886e-07, 1.11e-06, 2.22e-08, 1.125e-06, 9.82187e-08, 7.97e-06, 2.419e-05, 3.5544e-05, 87.5792
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.2796e-06, 3.8e-07, 3.8e-12, 1.482e-07, 7.4e-07, 1.14e-08, 3.3e-07, 5.86875e-08, 4.94e-06, 1.083e-05, 1.74383e-05, 93.7004


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.89901e-05, 6.5e-06, 6.5e-11, 2.535e-06, 9.76e-06, 1.95e-07, 7.59e-06, 1.25562e-07, 1e-05, 5.0145e-05, 8.68506e-05, 72.32
, 6.75602e-06, 1.8e-06, 1.8e-11, 7.02e-07, 4.2e-06, 5.4e-08, 2.85e-06, 1.12e-07, 1.012e-05, 3.41e-05, 5.3938e-05, 81.7699
, 9.60523e-06, 3.06e-06, 3.06e-11, 1.1934e-06, 5.26e-06, 9.18e-08, 7.395e-06, 1.24187e-07, 1e-05, 4.3575e-05, 7.06994e-05, 76.8124
, 9.58883e-06, 3.14e-06, 3.14e-11, 1.2246e-06, 5.13e-06, 9.42e-08, 3.315e-06, 1.25e-07, 1e-05, 3.658e-05, 5.96088e-05, 80.0578
, 1.56121e-05, 6.1e-06, 6.1e-11, 2.379e-06, 6.95e-06, 1.83e-07, 7.665e-06, 1.25062e-07, 1e-05, 4.3245e-05, 7.66471e-05, 75.1265
, 8.08482e-06, 2.44e-06, 2.44e-11, 9.516e-07, 4.62e-06, 7.32e-08, 3.045e-06, 1.25e-07, 1e-05, 3.596e-05, 5.72148e-05, 80.7762
