
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00457805, 0.0032, 3.2e-08, 0.00128, 2.02e-06, 9.6e-05, 1.515e-06, 2.50625e-08, 2e-06, 1.0515e-05, 0.00459211, 3.61811e-06
, 0.00171709, 0.0012, 1.2e-08, 0.00048, 1.08e-06, 3.6e-05, 7.05e-07, 2.20625e-08, 2e-06, 6.025e-06, 0.00172584, 0.159686
, 0.00236078, 0.00165, 1.65e-08, 0.00066, 1.26e-06, 4.95e-05, 1.485e-06, 2.4625e-08, 2e-06, 7.97e-06, 0.00237226, 0.0143138
, 0.00250376, 0.00175, 1.75e-08, 0.0007, 1.24e-06, 5.25e-05, 7.8e-07, 2.5e-08, 2e-06, 7.27e-06, 0.00251383, 0.00843976
, 0.00343281, 0.0024, 2.4e-08, 0.00096, 7.9e-07, 7.2e-05, 1.455e-06, 2.4625e-08, 2e-06, 7.55e-06, 0.00344384, 0.00026257
, 0.00186001, 0.0013, 1.3e-08, 0.00052, 1e-06, 3.9e-05, 5.85e-07, 2.5e-08, 2e-06, 7.08e-06, 0.0018697, 0.0933561
, 0.00271808, 0.0019, 1.9e-08, 0.00076, 1.06e-06, 5.7e-05, 6.3e-07, 2.5e-08, 2e-06, 6.64e-06, 0.00272737, 0.00380439
, 0.000786836, 0.00055, 5.5e-09, 0.00022, 3.3e-07, 1.65e-05, 4.35e-07, 2.4625e-08, 2e-06, 6.16e-06, 0.000795455, 5.14
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00114456, 0.0008, 8e-09, 0.00032, 5.5e-07, 2.4e-05, 2.85e-07, 5.86875e-08, 4.94e-06, 1.175e-05, 0.00116159, 1.31111


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00886983, 0.0062, 6.2e-08, 0.00248, 3.77e-06, 0.000186, 2.985e-06, 5.00625e-08, 4e-06, 1.9405e-05, 0.00889627, 3.83332e-13
, 0.00279022, 0.00195, 1.95e-08, 0.00078, 1.7e-06, 5.85e-05, 1.32e-06, 4.39375e-08, 4.02e-06, 1.171e-05, 0.00280731, 0.00282321
, 0.0047213, 0.0033, 3.3e-08, 0.00132, 2.27e-06, 9.9e-05, 3.255e-06, 4.96875e-08, 4e-06, 1.8245e-05, 0.00474685, 2.03103e-06
, 0.00414875, 0.0029, 2.9e-08, 0.00116, 1.72e-06, 8.7e-05, 1.185e-06, 5e-08, 4e-06, 1.449e-05, 0.00416847, 1.75784e-05
, 0.00915433, 0.0064, 6.4e-08, 0.00256, 2.27e-06, 0.000192, 3.15e-06, 4.975e-08, 4e-06, 1.682e-05, 0.00917835, 1.33802e-13
, 0.00372003, 0.0026, 2.6e-08, 0.00104, 2e-06, 7.8e-05, 1.335e-06, 5e-08, 4e-06, 1.512e-05, 0.00374053, 8.67886e-05
, 0.00579349, 0.00405, 4.05e-08, 0.00162, 1.95e-06, 0.0001215, 1.41e-06, 5e-08, 4e-06, 1.555e-05, 0.0058145, 3.78087e-08
, 0.00128758, 0.0009, 9e-09, 0.00036, 5.7e-07, 2.7e-05, 6.15e-07, 4.96562e-08, 3.99e-06, 1.111e-05, 0.00130334, 0.772555
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00128764, 0.0009, 9e-09, 0.00036, 6.3e-07, 2.7e-05, 3.15e-07, 5.86875e-08, 4.94e-06, 1.189e-05, 0.00130484, 0.768246


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0140913, 0.00985, 9.85e-08, 0.00394, 5.7e-06, 0.0002955, 4.425e-06, 7.48125e-08, 6e-06, 2.8045e-05, 0.0141298, 1.26638e-21
, 0.00393497, 0.00275, 2.75e-08, 0.0011, 2.44e-06, 8.25e-05, 1.965e-06, 6.61875e-08, 6.12e-06, 1.8615e-05, 0.00396173, 3.80192e-05
, 0.00758262, 0.0053, 5.3e-08, 0.00212, 3.57e-06, 0.000159, 4.575e-06, 7.54375e-08, 6e-06, 2.8075e-05, 0.00762135, 4.46263e-11
, 0.00650943, 0.00455, 4.55e-08, 0.00182, 2.88e-06, 0.0001365, 1.815e-06, 7.5e-08, 6e-06, 2.045e-05, 0.00653777, 2.54413e-09
, 0.0123728, 0.00865, 8.65e-08, 0.00346, 3.26e-06, 0.0002595, 4.44e-06, 7.4375e-08, 6e-06, 2.503e-05, 0.0124084, 7.80154e-19
, 0.00486459, 0.0034, 3.4e-08, 0.00136, 2.56e-06, 0.000102, 1.875e-06, 7.5e-08, 6e-06, 2.118e-05, 0.00489372, 1.17412e-06
, 0.00844019, 0.0059, 5.9e-08, 0.00236, 3.13e-06, 0.000177, 1.935e-06, 7.5e-08, 6e-06, 2.158e-05, 0.00846978, 1.88238e-12
, 0.00207438, 0.00145, 1.45e-08, 0.00058, 8.7e-07, 4.35e-05, 1.065e-06, 7.46875e-08, 6e-06, 1.7465e-05, 0.00209899, 0.0396811
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00128774, 0.0009, 9e-09, 0.00036, 7.3e-07, 2.7e-05, 3.15e-07, 5.86875e-08, 4.94e-06, 1.087e-05, 0.00130392, 0.770887


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0201715, 0.0141, 1.41e-07, 0.00564, 8.36e-06, 0.000423, 6.21e-06, 1.0125e-07, 8e-06, 4.187e-05, 0.0202277, 1.66343e-31
, 0.00543726, 0.0038, 3.8e-08, 0.00152, 3.22e-06, 0.000114, 2.73e-06, 8.84375e-08, 8.06e-06, 2.329e-05, 0.00547143, 1.36001e-07
, 0.0108736, 0.0076, 7.6e-08, 0.00304, 5.5e-06, 0.000228, 6.375e-06, 1.00562e-07, 8e-06, 3.5735e-05, 0.0109238, 1.98602e-16
, 0.00915633, 0.0064, 6.4e-08, 0.00256, 4.27e-06, 0.000192, 2.88e-06, 1e-07, 8e-06, 2.891e-05, 0.00919622, 1.25171e-13
, 0.0176655, 0.01235, 1.235e-07, 0.00494, 4.84e-06, 0.0003705, 6.27e-06, 9.91875e-08, 8e-06, 3.6415e-05, 0.0177162, 1.95339e-27
, 0.00665329, 0.00465, 4.65e-08, 0.00186, 3.74e-06, 0.0001395, 2.73e-06, 1e-07, 8e-06, 2.853e-05, 0.00669265, 1.42743e-09
, 0.0123029, 0.0086, 8.6e-08, 0.00344, 4.81e-06, 0.000258, 2.73e-06, 1e-07, 8e-06, 2.819e-05, 0.0123419, 9.99777e-19
, 0.00278969, 0.00195, 1.95e-08, 0.00078, 1.17e-06, 5.85e-05, 1.365e-06, 1.00187e-07, 7.98e-06, 2.393e-05, 0.00282306, 0.00266206
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00114446, 0.0008, 8e-09, 0.00032, 4.5e-07, 2.4e-05, 2.85e-07, 5.86875e-08, 4.94e-06, 1.078e-05, 0.00116052, 1.31635


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0231042, 0.01615, 1.615e-07, 0.00646, 9.56e-06, 0.0004845, 7.785e-06, 1.24e-07, 1e-05, 4.504e-05, 0.0231672, 2.86786e-36
, 0.00586682, 0.0041, 4.1e-08, 0.00164, 3.78e-06, 0.000123, 2.88e-06, 1.10156e-07, 1.009e-05, 2.8455e-05, 0.00590836, 2.66378e-08
, 0.0141639, 0.0099, 9.9e-08, 0.00396, 6.76e-06, 0.000297, 7.665e-06, 1.26625e-07, 1e-05, 4.525e-05, 0.0142269, 8.81621e-22
, 0.0105867, 0.0074, 7.4e-08, 0.00296, 4.58e-06, 0.000222, 3.15e-06, 1.25e-07, 1e-05, 3.592e-05, 0.0106358, 5.81551e-16
, 0.0217431, 0.0152, 1.52e-07, 0.00608, 6.96e-06, 0.000456, 7.785e-06, 1.2425e-07, 1e-05, 5.43e-05, 0.0218153, 4.4487e-34
, 0.00801246, 0.0056, 5.6e-08, 0.00224, 4.4e-06, 0.000168, 3.18e-06, 1.25e-07, 1e-05, 3.571e-05, 0.00806147, 8.63718e-12
, 0.0143054, 0.01, 1e-07, 0.004, 5.35e-06, 0.0003, 3.285e-06, 1.25e-07, 1e-05, 3.663e-05, 0.0143555, 5.45636e-22
, 0.0031474, 0.0022, 2.2e-08, 0.00088, 1.38e-06, 6.6e-05, 1.77e-06, 1.25094e-07, 9.97e-06, 3.173e-05, 0.003191, 0.000674502
