
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.19092e-05, 4.76e-06, 4.76e-11, 1.8564e-06, 5.15e-06, 1.428e-07, 5.76e-06, 9.9875e-08, 8e-06, 3.803e-05, 6.37991e-05, 78.8158
, 6.55802e-06, 1.9e-06, 1.9e-11, 7.41e-07, 3.86e-06, 5.7e-08, 2.4e-06, 1e-07, 8e-06, 2.785e-05, 4.4908e-05, 84.572
, 9.86323e-06, 3.46e-06, 3.46e-11, 1.3494e-06, 4.95e-06, 1.038e-07, 2.745e-06, 1e-07, 8e-06, 2.898e-05, 4.96882e-05, 83.0769
, 2.45441e-06, 8.2e-07, 8.2e-12, 3.198e-07, 1.29e-06, 2.46e-08, 1.29e-06, 9.91875e-08, 7.98e-06, 2.287e-05, 3.46936e-05, 87.8575
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.146e-06, 3e-07, 3e-12, 1.17e-07, 7.2e-07, 9e-09, 2.7e-07, 5.86875e-08, 4.94e-06, 1.161e-05, 1.80247e-05, 93.4956


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 1.95345e-05, 6.82e-06, 6.82e-11, 2.6598e-06, 9.85e-06, 2.046e-07, 8.115e-06, 1.23812e-07, 1e-05, 4.3985e-05, 8.17583e-05, 73.7073
, 6.62442e-06, 1.82e-06, 1.82e-11, 7.098e-07, 4.04e-06, 5.46e-08, 2.985e-06, 1.10406e-07, 1.005e-05, 2.9625e-05, 4.93948e-05, 83.1679
, 9.74203e-06, 3.1e-06, 3.1e-11, 1.209e-06, 5.34e-06, 9.3e-08, 7.755e-06, 1.24625e-07, 1e-05, 4.288e-05, 7.05017e-05, 76.8691
, 8.80923e-06, 2.76e-06, 2.76e-11, 1.0764e-06, 4.89e-06, 8.28e-08, 3.165e-06, 1.25e-07, 1e-05, 3.439e-05, 5.64892e-05, 80.9952
, 1.59193e-05, 6.26e-06, 6.26e-11, 2.4414e-06, 7.03e-06, 1.878e-07, 7.68e-06, 1.25187e-07, 1e-05, 4.8475e-05, 8.21995e-05, 73.5861
, 7.92602e-06, 2.3e-06, 2.3e-11, 8.97e-07, 4.66e-06, 6.9e-08, 3.06e-06, 1.25e-07, 1e-05, 3.478e-05, 5.5891e-05, 81.1762
, 1.2386e-05, 4.3e-06, 4.3e-11, 1.677e-06, 6.28e-06, 1.29e-07, 3.405e-06, 1.25e-07, 1e-05, 3.875e-05, 6.4666e-05, 78.5613
, 2.51281e-06, 8.4e-07, 8.4e-12, 3.276e-07, 1.32e-06, 2.52e-08, 1.635e-06, 1.24781e-07, 9.97e-06, 3.1035e-05, 4.52776e-05, 84.4554
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.2528e-06, 3.4e-07, 3.4e-12, 1.326e-07, 7.7e-07, 1.02e-08, 3e-07, 5.86875e-08, 4.94e-06, 1.112e-05, 1.76715e-05, 93.618

