
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00550771, 0.00385, 3.85e-08, 0.00154, 2.17e-06, 0.0001155, 1.35e-06, 5e-08, 4e-06, 1.466e-05, 0.00552777, 1.10215e-07
, 0.00128755, 0.0009, 9e-09, 0.00036, 5.4e-07, 2.7e-05, 7.2e-07, 4.98125e-08, 3.98e-06, 1.14e-05, 0.0013037, 0.771532
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00107318, 0.00075, 7.5e-09, 0.0003, 6.7e-07, 2.25e-05, 2.7e-07, 5.86875e-08, 4.94e-06, 1.106e-05, 0.00108951, 1.71575


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0152357, 0.01065, 1.065e-07, 0.00426, 6.12e-06, 0.0003195, 4.755e-06, 7.58125e-08, 6e-06, 3.6515e-05, 0.0152831, 1.71299e-23
, 0.00372023, 0.0026, 2.6e-08, 0.00104, 2.2e-06, 7.8e-05, 1.965e-06, 6.53125e-08, 6.02e-06, 1.714e-05, 0.00374542, 8.52209e-05
, 0.00808342, 0.00565, 5.65e-08, 0.00226, 3.86e-06, 0.0001695, 4.965e-06, 7.45625e-08, 6e-06, 2.6955e-05, 0.00812141, 6.90619e-12
, 0.00636652, 0.00445, 4.45e-08, 0.00178, 2.98e-06, 0.0001335, 1.845e-06, 7.5e-08, 6e-06, 2.06e-05, 0.00639504, 4.3333e-09
, 0.0132314, 0.00925, 9.25e-08, 0.0037, 3.76e-06, 0.0002775, 4.44e-06, 7.58125e-08, 6e-06, 2.6885e-05, 0.0132688, 3.14747e-20
, 0.00500804, 0.0035, 3.5e-08, 0.0014, 3e-06, 0.000105, 1.785e-06, 7.5e-08, 6e-06, 2.186e-05, 0.00503776, 6.85976e-07
, 0.00929885, 0.0065, 6.5e-08, 0.0026, 3.79e-06, 0.000195, 2.1e-06, 7.5e-08, 6e-06, 2.163e-05, 0.00932866, 7.63642e-14
, 0.00193138, 0.00135, 1.35e-08, 0.00054, 8.7e-07, 4.05e-05, 8.7e-07, 7.35625e-08, 5.92e-06, 1.7845e-05, 0.00195609, 0.0676315
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00114458, 0.0008, 8e-09, 0.00032, 5.7e-07, 2.4e-05, 2.85e-07, 5.86875e-08, 4.94e-06, 1.256e-05, 0.00116242, 1.30705


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0183115, 0.0128, 1.28e-07, 0.00512, 7.33e-06, 0.000384, 6.225e-06, 9.8625e-08, 8e-06, 3.879e-05, 0.0183646, 1.73852e-28
, 0.0053658, 0.00375, 3.75e-08, 0.0015, 3.26e-06, 0.0001125, 2.55e-06, 8.90625e-08, 8.04e-06, 2.3995e-05, 0.00540047, 1.77225e-07
, 0.0103722, 0.00725, 7.25e-08, 0.0029, 4.67e-06, 0.0002175, 6.18e-06, 1.00937e-07, 8e-06, 3.6185e-05, 0.0104227, 1.2882e-15
, 0.00879856, 0.00615, 6.15e-08, 0.00246, 4e-06, 0.0001845, 2.505e-06, 1e-07, 8e-06, 2.76e-05, 0.00883677, 4.78634e-13
, 0.017809, 0.01245, 1.245e-07, 0.00498, 5.38e-06, 0.0003735, 6.03e-06, 1.00625e-07, 8e-06, 3.791e-05, 0.017861, 1.13801e-27
, 0.00708203, 0.00495, 4.95e-08, 0.00198, 3.48e-06, 0.0001485, 2.565e-06, 1e-07, 8e-06, 2.877e-05, 0.00712146, 2.88173e-10
, 0.0121613, 0.0085, 8.5e-08, 0.0034, 6.18e-06, 0.000255, 2.7e-06, 1e-07, 8e-06, 3.036e-05, 0.0122024, 1.68247e-18
, 0.00236057, 0.00165, 1.65e-08, 0.00066, 1.05e-06, 4.95e-05, 1.26e-06, 9.91562e-08, 7.99e-06, 2.234e-05, 0.00239226, 0.0132845
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00114467, 0.0008, 8e-09, 0.00032, 6.6e-07, 2.4e-05, 2.85e-07, 5.86875e-08, 4.94e-06, 1.109e-05, 0.00116104, 1.3138


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.0242486, 0.01695, 1.695e-07, 0.00678, 9.91e-06, 0.0005085, 7.86e-06, 1.25125e-07, 1e-05, 4.91e-05, 0.0243157, 3.94841e-38
, 0.00600986, 0.0042, 4.2e-08, 0.00168, 3.82e-06, 0.000126, 3.18e-06, 1.08375e-07, 1e-05, 2.893e-05, 0.00605208, 1.55809e-08
, 0.0122326, 0.00855, 8.55e-08, 0.00342, 6.04e-06, 0.0002565, 7.545e-06, 1.25812e-07, 1e-05, 4.6075e-05, 0.0122964, 1.18497e-18
, 0.010802, 0.00755, 7.55e-08, 0.00302, 5.39e-06, 0.0002265, 3.225e-06, 1.25e-07, 1e-05, 3.541e-05, 0.0108507, 2.60843e-16
, 0.0210989, 0.01475, 1.475e-07, 0.0059, 6.22e-06, 0.0004425, 7.215e-06, 1.25937e-07, 1e-05, 4.3225e-05, 0.0211594, 5.14162e-33
, 0.00836998, 0.00585, 5.85e-08, 0.00234, 4.42e-06, 0.0001755, 3.255e-06, 1.25e-07, 1e-05, 3.547e-05, 0.00841883, 2.27653e-12
, 0.01495, 0.01045, 1.045e-07, 0.00418, 6.36e-06, 0.0003135, 3.33e-06, 1.25e-07, 1e-05, 3.794e-05, 0.0150014, 4.90083e-23
, 0.00257516, 0.0018, 1.8e-08, 0.00072, 1.14e-06, 5.4e-05, 1.53e-06, 1.24937e-07, 9.94e-06, 2.899e-05, 0.00261574, 0.00577011
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00128753, 0.0009, 9e-09, 0.00036, 5.2e-07, 2.7e-05, 3.15e-07, 5.86875e-08, 4.94e-06, 1.226e-05, 0.0013051, 0.76750

