
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00500704, 0.0035, 3.5e-08, 0.0014, 2e-06, 0.000105, 1.59e-06, 2.56875e-08, 2e-06, 1.0345e-05, 0.005021, 7.30243e-07
, 0.00157403, 0.0011, 1.1e-08, 0.00044, 1.02e-06, 3.3e-05, 6.9e-07, 2.18437e-08, 2.03e-06, 5.715e-06, 0.00158249, 0.272631
, 0.00314742, 0.0022, 2.2e-08, 0.00088, 1.4e-06, 6.6e-05, 1.635e-06, 2.50625e-08, 2e-06, 8.535e-06, 0.00315962, 0.000758289
, 0.002003, 0.0014, 1.4e-08, 0.00056, 9.9e-07, 4.2e-05, 6.15e-07, 2.5e-08, 2e-06, 6.86e-06, 0.0020125, 0.0547941
, 0.00393343, 0.00275, 2.75e-08, 0.0011, 9e-07, 8.25e-05, 1.38e-06, 2.41875e-08, 2e-06, 9.035e-06, 0.00394587, 4.03381e-05
, 0.00207465, 0.00145, 1.45e-08, 0.00058, 1.14e-06, 4.35e-05, 7.2e-07, 2.5e-08, 2e-06, 7.09e-06, 0.00208449, 0.0418872
, 0.00250341, 0.00175, 1.75e-08, 0.0007, 8.9e-07, 5.25e-05, 7.05e-07, 2.5e-08, 2e-06, 6.61e-06, 0.00251275, 0.00847399
, 0.000643775, 0.00045, 4.5e-09, 0.00018, 2.7e-07, 1.35e-05, 3.3e-07, 2.42187e-08, 1.99e-06, 5.635e-06, 0.000651754, 8.78682
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00128739, 0.0009, 9e-09, 0.00036, 3.8e-07, 2.7e-05, 3.15e-07, 5.86875e-08, 4.94e-06, 1.137e-05, 0.00130407, 0.770456


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00937054, 0.00655, 6.55e-08, 0.00262, 3.97e-06, 0.0001965, 2.925e-06, 5.04375e-08, 4e-06, 1.7455e-05, 0.00939497, 5.96267e-14
, 0.00243258, 0.0017, 1.7e-08, 0.00068, 1.56e-06, 5.1e-05, 1.125e-06, 4.36875e-08, 4e-06, 1.1495e-05, 0.00244924, 0.0107399
, 0.00543651, 0.0038, 3.8e-08, 0.00152, 2.47e-06, 0.000114, 2.985e-06, 5.03125e-08, 4e-06, 1.7545e-05, 0.00546109, 1.4135e-07
, 0.00479275, 0.00335, 3.35e-08, 0.00134, 2.22e-06, 0.0001005, 1.32e-06, 5e-08, 4e-06, 1.385e-05, 0.00481197, 1.5929e-06
, 0.0097978, 0.00685, 6.85e-08, 0.00274, 2.23e-06, 0.0002055, 3.15e-06, 5e-08, 4e-06, 1.857e-05, 0.00982357, 1.20473e-14
, 0.00429221, 0.003, 3e-08, 0.0012, 2.18e-06, 9e-05, 1.335e-06, 5e-08, 4e-06, 1.365e-05, 0.00431125, 1.03186e-05
